spkid,full_name,name,diameter,albedo,e,a,i,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q
20349219,349219 (2007 SV11),,0.583,0.272,0.4939,1.734,32.22,834,2.28,0.109,42.5,1.20E-07,5.60E-09,2.10E-07
20155110,155110 (2005 TB),,0.683,0.379,0.3486,1.261,30.38,517,1.42,0.11,42.7,1.10E-09,4.60E-10,1.40E-09
20001915,  1915 Quetzalcoatl (1953 EA),Quetzalcoatl,0.5,0.21,0.5703,2.544,20.4,1.48E+03,4.06,0.111,43.2,2.20E-07,8.20E-08,5.90E-07
20001627,  1627 Ivar (1929 SH),Ivar,9.12,0.15,0.397,1.863,8.45,929,2.54,0.112,43.6,7.40E-10,2.90E-10,1.40E-09
20085818, 85818 (1998 XM4),,2.028,0.168,0.416,1.657,62.72,779,2.13,0.112,43.4,2.10E-09,7.50E-10,3.30E-09
20152742,152742 (1998 XE12),,0.413,0.264,0.7392,0.8781,13.43,301,0.823,0.112,43.5,4.10E-08,4.50E-09,3.60E-08
20164206,164206 (2004 FN18),,1.138,0.124,0.4096,1.701,18.28,810,2.22,0.112,43.7,3.60E-09,2.00E-09,6.30E-09
20407324,407324 (2010 OB101),,0.281,0.141,0.5227,1.617,9.13,751,2.06,0.112,43.5,1.30E-07,3.40E-08,2.00E-07
20002212,  2212 Hephaistos (1978 SB),Hephaistos,5.7,0.163,0.8361,2.166,11.31,1.16E+03,3.19,0.113,44.1,1.00E-09,1.40E-09,2.30E-09
20394130,394130 (2006 HY51),,1.218,0.157,0.9685,2.589,33.58,1.52E+03,4.16,0.113,43.9,1.70E-08,1.50E-08,4.30E-08
3521441,       (2010 CJ171),,0.134,0.358,0.4914,1.996,7.38,1.03E+03,2.82,0.113,43.8,1.60E-08,9.80E-09,3.20E-08
3597511,       (2012 CC17),,0.231,0.208,0.3645,1.621,11.8,754,2.06,0.113,44.1,1.50E-07,1.60E-07,2.70E-07
20002062,  2062 Aten (1976 AA),Aten,1.1,0.26,0.1829,0.967,18.93,347,0.951,0.114,44.5,1.40E-09,1.00E-09,1.30E-09
20142040,142040 (2002 QE15),,1.232,0.353,0.3446,1.667,28.25,786,2.15,0.116,45.1,4.60E-10,1.30E-09,1.30E-09
20173689,173689 (2001 PK9),,0.724,0.161,0.395,1.779,10.43,867,2.37,0.116,45,3.50E-08,7.60E-09,6.20E-08
20194386,194386 (2001 VG5),,0.916,0.353,0.6135,2.301,13.69,1.28E+03,3.49,0.116,45.1,1.10E-08,1.50E-09,2.50E-08
20161999,161999 (1989 RC),,0.458,0.211,0.5121,2.316,7.37,1.29E+03,3.52,0.117,45.7,1.20E-07,1.20E-08,2.80E-07
3710225,       (2015 CP13),,0.384,0.144,0.6633,2.439,8.84,1.39E+03,3.81,0.117,45.4,2.80E-07,2.00E-07,6.80E-07
20011066, 11066 Sigurd (1992 CC1),Sigurd,2.104,0.19,0.3754,1.392,36.88,600,1.64,0.118,46,5.80E-10,4.60E-10,9.80E-10
20011405, 11405 (1999 CV3),,3.621,0.112,0.3939,1.46,22.86,644,1.76,0.119,46.1,1.50E-09,3.40E-10,2.40E-09
20530531,530531 (2011 OL5),,0.28,0.187,0.1586,1.222,15.73,493,1.35,0.119,46.5,2.10E-08,2.60E-09,2.70E-08
20246138,246138 (2007 OG3),,0.588,0.269,0.4816,2.164,1.69,1.16E+03,3.18,0.12,46.6,5.00E-08,9.50E-09,1.10E-07
20008567,  8567 (1996 HW1),,2.928,0.156,0.4493,2.045,8.45,1.07E+03,2.92,0.121,47.3,1.00E-09,2.70E-10,2.10E-09
20152564,152564 (1992 HF),,0.282,0.169,0.5617,1.391,13.32,599,1.64,0.121,46.9,4.00E-08,2.10E-09,5.50E-08
3686191,       (2014 RL12),,0.694,0.254,0.674,2.76,23.79,1.68E+03,4.59,0.121,47.2,1.80E-08,2.60E-08,4.90E-08
20019356, 19356 (1997 GH3),,0.91,0.34,0.5576,2.512,3.01,1.45E+03,3.98,0.123,48,3.30E-08,1.20E-08,8.30E-08
20315098,315098 (2007 EX),,0.993,0.313,0.4174,0.8716,18.7,297,0.814,0.124,48.1,1.90E-08,1.10E-09,1.60E-08
20085709, 85709 (1998 SG36),,2.23,0.141,0.3374,1.646,24.83,771,2.11,0.125,48.8,3.80E-09,4.80E-10,6.20E-09
20299582,299582 (2006 GQ2),,0.622,0.288,0.4659,1.29,25.83,535,1.47,0.125,48.8,1.10E-07,6.40E-09,1.50E-07
20513550,513550 (2010 NG3),,1.451,0.111,0.569,2.612,26.99,1.54E+03,4.22,0.126,48.9,5.30E-08,4.10E-08,1.40E-07
20152941,152941 (2000 FM10),,0.82,0.205,0.6808,1.481,8.73,658,1.8,0.127,49.4,3.60E-08,2.90E-09,5.40E-08
20511808,511808 (2015 FH120),,0.746,0.105,0.6097,2.038,11.1,1.06E+03,2.91,0.127,49.3,2.10E-08,8.30E-09,4.40E-08
20100926,100926 (1998 MQ),,1.174,0.234,0.4074,1.783,24.24,870,2.38,0.13,50.5,1.60E-09,2.90E-10,2.90E-09
20385402,385402 (2002 WZ2),,1.597,0.11,0.8844,2.461,51.27,1.41E+03,3.86,0.13,50.7,1.30E-07,1.70E-08,3.30E-07
20276703,276703 (2004 BL11),,0.521,0.124,0.7498,1.26,9.81,517,1.41,0.131,51,3.20E-08,5.70E-09,4.00E-08
3541206,       (2010 OL100),,0.308,0.246,0.654,2.261,22.22,1.24E+03,3.4,0.131,51,8.60E-08,2.00E-08,1.90E-07
20190166,190166 (2005 UP156),,1.045,0.234,0.47,2.117,4.21,1.13E+03,3.08,0.132,51.4,6.10E-09,6.40E-09,1.30E-08
3735653,       (2015 XD1),,0.201,0.399,0.6556,2.278,11.59,1.26E+03,3.44,0.132,51.3,5.10E-08,1.10E-08,1.20E-07
20086667, 86667 (2000 FO10),,0.745,0.349,0.5946,0.8594,14.29,291,0.797,0.134,52,4.40E-09,9.90E-10,3.70E-09
20214088,214088 (2004 JN13),,2.423,0.25,0.6902,2.89,13.35,1.79E+03,4.91,0.134,52.2,1.50E-08,6.20E-09,4.50E-08
20364877,364877 (2008 EM9),,0.786,0.317,0.8526,1.958,9.44,1.00E+03,2.74,0.134,52.3,3.30E-08,1.40E-08,6.60E-08
20162038,162038 (1996 DH),,1.959,0.105,0.2766,1.587,17.23,730,2,0.135,52.7,1.20E-08,6.20E-10,1.90E-08
20334673,334673 (2003 AL18),,0.57,0.376,0.4165,1.685,15.72,799,2.19,0.135,52.7,2.90E-08,3.60E-09,4.90E-08
20532874,532874 (2013 YZ13),,0.31,0.266,0.2618,1.39,31.22,599,1.64,0.136,53,6.10E-08,6.50E-09,8.30E-08
20007839,  7839 (1994 ND),,0.784,0.181,0.5187,2.165,27.12,1.16E+03,3.19,0.137,53.1,7.20E-08,7.60E-09,1.60E-07
20048603, 48603 (1995 BC2),,0.844,0.227,0.4299,1.918,5.03,970,2.66,0.137,53.2,3.60E-08,3.50E-09,7.00E-08
3723816,       (2015 MN116),,0.394,0.137,0.5296,1.708,44.78,815,2.23,0.137,53.2,1.50E-07,9.20E-09,2.50E-07
3743895,       (2016 CK246),,0.094,0.347,0.7295,3.972,12.64,2.89E+03,7.92,0.138,53.7,9.50E-08,3.50E-08,3.70E-07
20138883,138883 (2000 YL29),,1.222,0.247,0.3439,1.536,21.89,695,1.9,0.139,54.2,1.00E-08,1.80E-09,1.60E-08
3114037,       (2002 CT46),,0.16,0.32,0.5246,2.37,15.67,1.33E+03,3.65,0.139,54.1,1.60E-05,2.40E-04,7.50E-05
20198856,198856 (2005 LR3),,0.742,0.389,0.3352,1.654,25,777,2.13,0.14,54.4,1.60E-08,2.80E-09,2.50E-08
20515049,515049 (2010 FL),,0.351,0.273,0.6555,1.919,11.4,971,2.66,0.14,54.4,4.70E-08,2.00E-08,9.00E-08
